Disease_Name,Treatment
Apple___Apple_scab,Apply copper-based fungicides or fungicides containing captan or mancozeb during the early stages of infection. Remove infected leaves and fallen debris to prevent reinfection. Ensure proper air circulation by pruning infected parts of the tree.
Apple___Black_rot,"Remove infected branches and leaves immediately. Apply fungicides such as captan, copper-based treatments, or mancozeb to protect healthy tissue. Practice good orchard hygiene and ensure proper spacing for better airflow."
Apple___Cedar_apple_rust,Use fungicides like captan and mancozeb to control the infection. Remove infected leaves and prune surrounding cedar trees to reduce rust spread. Regularly inspect your trees and maintain good orchard hygiene.
Apple___healthy,"Ensure the plant receives adequate water, sunlight, and proper soil nutrition. Mulch around the base of the tree to retain moisture and suppress weeds. Regularly check for pests and prune dead or infected leaves to maintain overall plant health."
Blueberry___healthy,"Maintain slightly acidic, well-drained soil for healthy blueberry plants. Water regularly but avoid waterlogging to prevent root rot. Apply organic mulch around the base of the plant to retain moisture and control weeds."
Cherry_(including_sour)___healthy,"Ensure adequate water, sunlight, and proper soil drainage for healthy cherry trees. Prune dead wood and remove fallen leaves to reduce pest and disease risks. Fertilize with balanced nutrients to support growth and fruiting."
Cherry_(including_sour)___Powdery_mildew,Apply sulfur-based fungicides or neem oil to control powdery mildew. Remove infected leaves and debris to prevent the spread of spores. Prune the tree to allow better airflow and reduce fungal infections.
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,Apply fungicides containing azoxystrobin or chlorothalonil to prevent further infection. Rotate crops annually to reduce pathogen buildup. Remove infected leaves and dispose of them properly to limit disease spread.
Corn_(maize)___Common_rust,Use resistant corn varieties and apply fungicides like azoxystrobin or propiconazole during early growth. Ensure proper crop rotation to reduce pathogen buildup. Remove infected plants and debris after harvest to reduce future risks.
Corn_(maize)___healthy,"Ensure consistent watering, especially during flowering, and provide adequate nitrogen. Plant corn in well-drained, loamy soil with proper spacing for airflow. Control weeds and pests that may compete for nutrients."
Corn_(maize)___Northern_Leaf_Blight,Apply fungicides like chlorothalonil during early growth stages. Rotate crops and remove infected plant parts to reduce disease spread. Ensure proper soil drainage and avoid planting maize in the same location every year.
Grape___Black_rot,Apply copper-based fungicides during the growing season to control black rot. Prune and remove any infected leaves and vines. Ensure proper airflow by spacing vines properly and consider using resistant grape varieties.
Grape___Esca_(Black_Measles),Prune infected vines and apply sulfur or copper-based fungicides. Ensure proper vineyard hygiene by removing infected wood and treating with appropriate fungicides. Control vine pests that may spread the disease and maintain good soil health.
Grape___healthy,"Regularly prune vines, ensure good drainage, and maintain proper spacing. Water regularly but avoid over-watering and check for pests and diseases. Ensure that vines receive adequate sunlight for healthy growth."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Apply fungicides like mancozeb to control leaf blight. Remove infected leaves and ensure proper spacing for better airflow. Avoid overhead irrigation, which can spread fungal spores."
Orange___Haunglongbing_(Citrus_greening),"Remove infected trees immediately to prevent the disease from spreading. Apply insecticides to control the citrus psyllid, which transmits the disease. Regularly inspect trees for early signs of infection and practice strict sanitation."
Peach___Bacterial_spot,"Remove infected branches and apply copper-based fungicides. Avoid overhead irrigation, as it spreads bacteria. Use resistant peach varieties and practice crop rotation to minimize the spread of bacterial pathogens."
Peach___healthy,"Water regularly, provide adequate sunlight, and maintain well-drained soil. Prune dead wood and maintain organic mulch to retain moisture and suppress weeds. Fertilize with balanced nutrients to encourage strong growth and fruit production."
"Pepper,_bell___Bacterial_spot",Remove infected plants and apply bactericides like copper-based products. Avoid overhead watering as it can spread the bacteria. Rotate crops to prevent the buildup of bacterial pathogens in the soil.
"Pepper,_bell___healthy","Water bell peppers regularly, especially during flowering. Ensure they receive organic fertilizers and mulch to retain moisture. Check for pests and diseases and remove any affected plants immediately."
Potato___Early_blight,Apply fungicides like chlorothalonil to control early blight. Remove infected leaves and avoid overhead irrigation. Practice crop rotation and ensure good soil drainage to prevent future outbreaks.
Potato___healthy,"Ensure potatoes are planted in well-drained soil with adequate sunlight. Water regularly, especially during dry periods, and apply balanced fertilizers. Mulch around the plants to retain moisture and reduce weed competition."
Potato___Late_blight,Apply fungicides during wet weather to prevent late blight. Remove infected leaves and stems and dispose of them away from the field. Rotate crops and avoid over-watering to reduce the humidity that promotes blight.
Raspberry___healthy,"Raspberries require slightly acidic, well-drained soil and regular watering. Prune dead or damaged canes to encourage healthy new growth. Mulch around the base to retain moisture and prevent weed growth."
Soybean___healthy,"Soybeans need good drainage, proper spacing, and regular watering. Fertilize with nitrogen-rich compounds to support healthy growth. Rotate crops to avoid soil-borne diseases and improve soil fertility."
Squash___Powdery_mildew,Apply sulfur-based fungicides or neem oil to control powdery mildew. Remove infected leaves and ensure proper spacing for air circulation. Avoid overhead irrigation to prevent the spread of fungal spores.
Strawberry___Leaf_scorch,Remove affected leaves and apply copper-based fungicides. Water at the base of the plants and avoid wetting the foliage. Mulch around the plants to retain moisture and prevent weed growth.
Strawberry___healthy,"Ensure strawberries receive well-drained, slightly acidic soil. Mulch to retain moisture and prevent weed competition. Monitor plants for pests and diseases and ensure they receive full sunlight."
Tomato___Bacterial_spot,Remove infected plant material and apply bactericides like copper-based fungicides. Ensure good air circulation by spacing plants properly. Avoid overhead watering and rotate crops to prevent bacterial buildup.
Tomato___Early_blight,Apply fungicides like chlorothalonil and remove infected leaves. Ensure good spacing and avoid working in wet conditions to reduce fungal spread. Prune dead or diseased leaves to maintain plant health.
Tomato___healthy,Provide regular watering and balanced fertilization for healthy tomato growth. Ensure adequate sunlight for photosynthesis and prune damaged leaves. Monitor for pests and remove infected parts to prevent further damage.
Tomato___Late_blight,Apply fungicides during wet weather and remove infected plants immediately. Rotate crops to reduce the spread of the disease and avoid over-watering. Ensure proper soil drainage and good air circulation around plants.
Tomato___Leaf_Mold,Prune plants to increase airflow and reduce humidity. Apply copper-based fungicides to control the infection. Remove infected leaves and avoid overhead watering.
Tomato___Septoria_leaf_spot,Remove infected leaves and apply fungicides containing chlorothalonil or mancozeb. Ensure good spacing between plants to reduce humidity and promote airflow. Avoid working with wet plants and sanitize tools to prevent disease spread.
Tomato___Spider_mites_Two-spotted_spider_mite,Use miticides like abamectin or neem oil to control spider mites. Regularly rinse plants with water to remove mites and their webs. Remove infected leaves and check for new signs of mite activity.
Tomato___Target_Spot,Apply fungicides containing mancozeb to control target spot. Remove infected leaves immediately and ensure proper plant spacing. Rotate crops and practice good soil management to reduce the disease.
Tomato___Tomato_mosaic_virus,"Remove and destroy infected plants immediately to prevent spread. Control aphids, which spread the virus, by using insecticides. Sanitize tools and avoid using infected transplants."
